Sale Start date,Sale End date,DSP,Sale Store Name,Sale Type,Sale User Type,Territory,Product UPC,Product Reference,Product Catalog Number,Product Label,Product Artist,Product Title,Asset Artist,Asset Title,Asset Version,Asset Duration,Asset ISRC,Asset Reference,Asset/Product,Product Quantity,Asset Quantity,Original Gross Income,Original currency,Exchange Rate,Converted Gross Income,Contract deal term,Reported Royalty,Currency,Report Run ID,Report ID,Sale ID
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693952876,5133699818,d76b921e-5573-4aa9-92d7-e01ad8889711,Adlomusic,Adlomusic,Tanjiro vs. Daki,Adlomusic,Tanjiro vs. Daki,,286,NLRD52082457,5133702334,Asset,,1,0.04245,MXN,0.04564,0.001937418,93%,0.00180179874,EUR,7611,282303,8071832497
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693952876,5133699818,d76b921e-5573-4aa9-92d7-e01ad8889711,Adlomusic,Adlomusic,Tanjiro vs. Daki,Adlomusic,Tanjiro vs. Daki,,286,NLRD52082457,5133702334,Asset,,123,5.22135,MXN,0.04564,0.238302414,93%,0.22162124502,EUR,7611,282303,8071832498
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693952876,5133699818,d76b921e-5573-4aa9-92d7-e01ad8889711,Adlomusic,Adlomusic,Tanjiro vs. Daki,Adlomusic,Tanjiro vs. Daki,,286,NLRD52082457,5133702334,Asset,,9,0.375354,MXN,0.04564,0.01713115656,93%,0.0159319756008,EUR,7611,282303,8072143078
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693952876,5133699818,d76b921e-5573-4aa9-92d7-e01ad8889711,Adlomusic,Adlomusic,Tanjiro vs. Daki,Adlomusic,Tanjiro vs. Daki,,286,NLRD52082457,5133702334,Asset,,7,0.291942,MXN,0.04564,0.01332423288,93%,0.0123915365784,EUR,7611,282303,8072143079
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Premium,MX,8720693952876,5133699818,d76b921e-5573-4aa9-92d7-e01ad8889711,Adlomusic,Adlomusic,Tanjiro vs. Daki,Adlomusic,Tanjiro vs. Daki,,286,NLRD52082457,5133702334,Asset,,3,0.271911,MXN,0.04564,0.01241001804,93%,0.0115413167772,EUR,7611,282303,8072382689
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Promo,MX,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,1,0.033939,MXN,0.04564,0.00154897596,93%,0.0014405476428,EUR,7611,282303,8071257089
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Promo,MX,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,1,0.033939,MXN,0.04564,0.00154897596,93%,0.0014405476428,EUR,7611,282303,8071257090
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,4,0.1698,MXN,0.04564,0.007749672,93%,0.00720719496,EUR,7611,282303,8071832499
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,5,0.20853,MXN,0.04564,0.0095173092,93%,0.008851097556,EUR,7611,282303,8072143080
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,4,0.166824,MXN,0.04564,0.00761384736,93%,0.0070808780448,EUR,7611,282303,8072143081
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Premium,MX,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,4,0.362548,MXN,0.04564,0.01654669072,93%,0.0153884223696,EUR,7611,282303,8072382690
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693963490,5144313726,0e357762-baa4-4645-b1dc-ef5ea4242a3e,Adlomusic,Adlomusic,Tanjiro vs. Gyutaro,Adlomusic,Tanjiro vs. Gyutaro,,188,NLRD52082590,5149066926,Asset,,18,0.7641,MXN,0.04564,0.034873524,93%,0.03243237732,EUR,7611,282303,8071832519
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693963490,5144313726,0e357762-baa4-4645-b1dc-ef5ea4242a3e,Adlomusic,Adlomusic,Tanjiro vs. Gyutaro,Adlomusic,Tanjiro vs. Gyutaro,,188,NLRD52082590,5149066926,Asset,,2,0.083412,MXN,0.04564,0.00380692368,93%,0.0035404390224,EUR,7611,282303,8072143121
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Family plan,MX,8720693963490,5144313726,0e357762-baa4-4645-b1dc-ef5ea4242a3e,Adlomusic,Adlomusic,Tanjiro vs. Gyutaro,Adlomusic,Tanjiro vs. Gyutaro,,188,NLRD52082590,5149066926,Asset,,3,0.125118,MXN,0.04564,0.00571038552,93%,0.0053106585336,EUR,7611,282303,8072143122
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Premium,MX,8720693963490,5144313726,0e357762-baa4-4645-b1dc-ef5ea4242a3e,Adlomusic,Adlomusic,Tanjiro vs. Gyutaro,Adlomusic,Tanjiro vs. Gyutaro,,188,NLRD52082590,5149066926,Asset,,2,0.181274,MXN,0.04564,0.00827334536,93%,0.0076942111848,EUR,7611,282303,8072382735
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Premium,SV,8720693955099,5136998050,5a7543f7-b29e-4960-ad5f-5a42f5ffd710,BM,BM,Par de Temas,BM,Call me,,109,NLRD52082503,5142053002,Asset,,1,0.006274,USD,0.904873,0.005677173202,93%,0.00527977107786,EUR,7611,282311,8072678056
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Premium,CR,1963620633869,5140315364,348279,Adlomusic,Adlomusic,Eren vs. Zeke,Adlomusic,Eren vs. Zeke,,257,US3DF2217015,5140315380,Asset,,6,0.045828,USD,0.904873,0.041468519844,93%,0.03856572345492,EUR,7611,282311,8072502796
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Trial,US,8720693953156,5133922274,7a4b490b-a6c7-4add-a099-80b4abc045d8,Adlomusic,Adlomusic,Uzui vs. Gyutaro,Adlomusic,Uzui vs. Gyutaro,,177,NLRD52082139,5133923410,Asset,,1,0.008143,USD,0.904873,0.007368380839,93%,0.00685259418027,EUR,7611,282344,8074294981
2022-01-28,2022-02-24,Apple Music,Apple Music,Streaming,Premium,US,1963620633869,5140315364,348279,Adlomusic,Adlomusic,Eren vs. Zeke,Adlomusic,Eren vs. Zeke,,257,US3DF2217015,5140315380,Asset,,2,0.017068,USD,0.904873,0.015444372364,93%,0.01436326629852,EUR,7611,282344,8083796835
2022-02-27,2022-02-27,Youtube Music,Youtube Music,Video Stream (Audio),,AR,018736385858,5132214551,115571,Zunny,Zunny,Falsa Esperanza,Zunny,Falsa Esperanza,,194,US3DF2007227,5132214573,Asset,,1,0.00068359,USD,0.89605,0.0006125308195,93%,0.000569653662135,EUR,7612,282492,8150391712
2022-02-20,2022-02-20,Youtube Music,Youtube Music,Video Stream (Audio),,AR,024543285434,5133545125,177571,Sol Vera,Zunny,Avión,Zunny,Avión,,189,USANG2156495,5133545163,Asset,,1,0.00068359,USD,0.89605,0.0006125308195,93%,0.000569653662135,EUR,7612,282492,8149930836
2022-02-20,2022-02-20,Youtube Music,Youtube Music,Video Stream (Audio),,AR,024543285434,5133545125,177571,Sol Vera,Zunny,Avión,Zunny,Avión,,189,USANG2156495,5133545163,Asset,,1,0.00052993,USD,0.89605,0.0004748437765,93%,0.000441604712145,EUR,7612,282492,8149930837
2022-02-24,2022-02-24,Youtube Music,Youtube Music,Video Stream (Audio),,AR,8720693953033,5133805871,d2920f7b-69b5-410f-8d47-8238f700f5b1,GM MUSICA,Barbara Bluedeep,Espejismos,Barbara Bluedeep,Espejismos,,186,NLRD52082449,5133808818,Asset,,1,0.001378015,USD,0.89605,0.00123477034075,93%,0.0011483364617,EUR,7612,282492,8150150688
2022-02-24,2022-02-24,Youtube Music,Youtube Music,Video Stream (Audio),,AR,8720693953033,5133805871,d2920f7b-69b5-410f-8d47-8238f700f5b1,GM MUSICA,Barbara Bluedeep,Espejismos,Barbara Bluedeep,Espejismos,,186,NLRD52082449,5133808818,Asset,,4,0.002733375,USD,0.89605,0.00244924066875,93%,0.00227779386674,EUR,7612,282492,8150150689
2022-02-24,2022-02-24,Youtube Music,Youtube Music,Video Stream (Audio),,AR,8720693953033,5133805871,d2920f7b-69b5-410f-8d47-8238f700f5b1,GM MUSICA,Barbara Bluedeep,Espejismos,Barbara Bluedeep,Espejismos,,186,NLRD52082449,5133808818,Asset,,1,0.00052993,USD,0.89605,0.0004748437765,93%,0.000441604712145,EUR,7612,282492,8150150690
2022-02-25,2022-02-25,Youtube Music,Youtube Music,Video Stream (Audio),,AR,8720693953033,5133805871,d2920f7b-69b5-410f-8d47-8238f700f5b1,GM MUSICA,Barbara Bluedeep,Espejismos,Barbara Bluedeep,Espejismos,,186,NLRD52082449,5133808818,Asset,,1,0.001378015,USD,0.89605,0.00123477034075,93%,0.0011483364617,EUR,7612,282492,8150203409
