UPC,amazon,amazonmusic,applemusic,awa,boomplay,deezer,facebookfingerprinting,facebookmusic,hungama,imusica,itunes,jaxsta,kanjian,kkbox,linemusic,medianet,netease,nuuday,peloton,saavn,sevendigital,shazam,slacker,soundcloud,spotify,tidal,tiktok,touchtunes,umamusic,youtube,youtubemusic,zvook
018736301704,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published
018736400780,Published,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Removed,Published,Published
018736400933,Removed,Never,Never,Removed,Never,Removed,Removed,Removed,Never,Removed,Removed,Never,Removed,Never,Removed,Removed,Never,Removed,Removed,Removed,Removed,Removed,Removed,Never,Removed,Removed,Never,Removed,Removed,Removed,Removed,Removed
018736446214,Published,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Published,Removed,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published
018736457685,Published,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Published,Removed,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published
018736446191,Published,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Removed,Published,Published
018736484254,Published,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Removed,Published,Published
018736487989,Removed,Never,Never,Removed,Published,Removed,Removed,Removed,Never,Removed,Removed,Never,Removed,Removed,Removed,Removed,Never,Removed,Removed,Removed,Removed,Removed,Removed,Published,Removed,Removed,Published,Removed,Removed,Removed,Removed,Removed
018736500183,Removed,Never,Never,Removed,Published,Removed,Removed,Removed,Never,Removed,Removed,Published,Removed,Removed,Removed,Removed,Never,Removed,Removed,Removed,Removed,Removed,Removed,Published,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
018736500275,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Removed,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Published,Never,Never,Never,Removed,Removed,Removed,Removed
193537072067,Published,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Published,Never,Published,Published,Published,Published,Published,Removed,Published,Published

